"State","Latitude","Longitude","District","Land Area(km2)","Total Population","Population Density (per km2)","Citizens","Non-citizens","Male Population","Female Population","Bumiputera %","Bumiputera Citizens","Chinese % ","Chinese Citizens","Indian %","Indian Citizens","Other Race %","Other Race Citizens","% of citizen age 0-14","No. of citizen age 0-14","% of citizen age 15-64","No. of citizen age 15-64","% of citizen age 65 above","No. of citizen age 65 above","% of citizen age 18 above","No. of citizen age 18 above","Total Dependency Ratio","Young Dependency","Old Dependency","Sex Ratio","Living Quarters","Households","Average Household Size","No. of male live births","No. of female live births","No. of male deaths","No. of female deaths","% of owned housing (2019)","No. of owned housing (2019)","% of rented housing (2019)","No. of rented housing (2019)","% of quarter housing (2019)","No. of quarter housing (2019)","Labour Force Employment (,000)","No. of Labour Force","Employed (,000)","No. of citizen in employment","Unemployed (,000)","No. of citizen in unemployment","Outside Labour Force (.000)","No. of Outside Labour Force","Labour Force Participation Rate","Unemployment Rate","Median Monthly Household Gross Income (2019)","Mean Monthly Household Gross income (2019)","Mean Monthly Households Consumption Expenditure (2019)","Gini Coefficient (2019)","% of Incidence Of Poverty (2019)","Total No. of citizen with extreme poor status","Total No. of citizen with poor status","No. of male citizen with extreme poor status","No. of female citizen with extreme poor status","No. of male citizen with poor status","No. of female citizen with poor status","No. of malay citizen with extreme poor status","No. of chinese citizen with extreme poor status","No. of indian citizen with extreme poor status","No. of other citizen with extreme poor status","No. of malay citizen with poor status","No. of chinese citizen with poor status","No. of indian citizen with poor status","No. of other citizen with poor status","No. of Islam with extreme poor status","No. of Christian with extreme poor status","No. of Buddhist with extreme poor status","No. of Hindu with extreme poor status","No. of others with extreme poor status","No. of Islam with poor status","No. of Christian with poor status","No. of Buddhist with poor status","No. of Hindu with poor status","No. of others with poor status","No. of citizen age 0-14 with extreme poor status","No. of citizen age 15-30 with extreme poor status","No. of citizen age 31-59 with extreme poor status","No. of citizen age 60 above with extreme poor status","No. of citizen age 0-14 with poor status","No. of citizen age 15-30 with poor status","No. of citizen age 31-59 with poor status","No. of citizen age 60 above with poor status"
"Perlis","6.662622","100.321665","Padang Besar","450","86798","193","84074","2724","44487","42311","89.8","77945","5.6","4861","1.6","1389","2.9","2517","21.7","18835","70","60759","8.3","7204","69.3","60151","42.9","31.1","11.9","105","23026","23387","3.5","598","611","305","270","86.8","75341","7","6076","6.2","5381","31.5","31500","30.2","30200","1.3","1300","18.5","18500","62.9","4.1","4075","4747","3154","0.31","5.7","0","967","0","0","664","303","0","0","0","0","926","11","4","26","0","0","0","0","0","938","0","26","3","0","0","0","0","0","1","29","662","275"
"Perlis","6.429708","100.269844","Arau","222","97332","438","95902","1430","47983","49349","89.4","87015","6.6","6424","2.3","2239","1.7","1655","17.9","17422","75","72999","7.1","6911","74.8","72804","33.4","23.9","9.5","97","21467","29467","3.6","773","662","374","290","85.1","82830","9.4","9149","5.5","5353","39.3","39300","37.4","37400","1.8","1800","22.8","22800","63.3","4.7","4594","5411","3381","0.31","1.4","0","1275","0","0","863","412","0","0","0","0","1220","12","9","34","0","0","0","0","0","1226","0","41","8","0","0","0","0","0","0","30","879","366"
"Perlis","6.443589","100.216599","Kangar","141","100755","715","98479","2276","49875","50880","87.3","87959","9.6","9672","1.5","1511","1.6","1612","21.8","21965","70","70529","8.2","8262","70","70529","42.8","31.2","11.7","98","28611","27996","3.5","773","721","394","317","82.5","83123","13.8","13904","3.7","3728","39.6","39600","38","38000","1.6","1600","23.4","23400","62.8","4","4889","5899","3694","0.35","4.2","0","1498","0","0","1005","493","0","0","0","0","1430","39","23","6","0","0","0","0","0","1440","0","38","18","2","0","0","0","0","2","40","971","485"
"W.P. Putrajaya","2.93649","101.69153","W.P. Putrajaya","49","109202","2229","106381","2821","53574","55628","97.9","106909","0.6","655","1.2","1310","0.2","218","38","41497","60.6","66176","1.4","1529","58.4","63774","64.9","62.6","2.3","96","38056","29699","3.7","1073","1069","118","92","15.1","16490","7.5","8190","77.4","84522","36.7","36700","36.2","36200","0.6","600","13.9","13900","72.5","1.5","9983","12840","7980","0.361","0.4","0","4","0","0","2","2","0","0","0","0","4","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","4","0"
"W.P. Labuan","5.285153","115.247787","W.P. Labuan","96","95120","991","84288","10832","48890","46230","86.2","81993","11.7","11129","1.1","1046","1","951","27.3","25968","68.5","65157","4.2","3995","67.8","64491","46.1","40","6.1","106","22879","23961","3.9","847","863","179","135","60.3","57357","33.4","31770","6.3","5993","46.1","46100","42.8","42800","3.3","3300","25.3","25300","64.6","7.2","6726","8319","4097","0.333","3.1","196","491","126","70","345","146","10","12","0","174","21","19","2","449","182","7","7","0","0","462","18","11","0","0","1","4","110","81","0","8","312","171"
"W.P. KualaLumpur","3.2025","101.637222","Kepong","12","106199","8850","88170","18029","62487","43712","20.2","21452","72.9","77419","6.3","6691","0.6","637","15.7","16673","77.1","81879","7.2","7646","80.7","85703","29.8","20.4","9.4","143","31667","28268","3.3","572","542","227","173","74.2","78800","25.8","27399","0","0","43.3","43300","41.3","41300","2","2000","16.4","16400","72.5","4.7","11274","13087","6500","0.303","0","55","133","20","35","70","63","27","9","17","2","52","39","30","12","32","3","8","11","1","69","4","34","25","1","0","2","25","28","1","1","81","50"
"W.P. KualaLumpur","3.2041","101.6729","Batu","20","219132","10957","172546","46586","131753","87379","56.6","124029","30.1","65959","12.9","28268","0.4","877","15.8","34623","78.5","172019","5.7","12491","80.6","176620","27.3","20.1","7.2","151","66080","61054","3","1126","1066","449","340","58.1","127316","41.5","90940","0.4","877","88.5","88500","84.2","84200","4.3","4300","34.9","34900","71.7","4.8","9426","11019","5817","0.305","0.3","173","291","74","99","150","141","106","8","54","5","176","20","83","12","124","2","7","40","0","202","4","18","63","4","0","2","95","76","0","10","170","111"
"W.P. KualaLumpur","3.204743","101.736145","Wangsa Maju","16","215600","13475","195262","20338","115803","99797","61.7","133025","30.6","65974","7","15092","0.8","1725","23","49588","71.3","153723","5.7","12289","72","155232","40.2","32.2","8","116","62008","56346","3.6","1312","1195","523","381","60.5","130438","39.5","85162","0","0","94.6","94600","91.4","91400","3.2","3200","37.7","37700","71.5","3.4","9716","11153","5768","0.289","0","81","163","37","44","88","75","59","6","15","1","111","17","33","2","66","3","4","7","1","121","0","17","25","0","0","0","33","48","0","2","82","79"
"W.P. KualaLumpur","3.186944","101.650558","Segambut","51","253715","4975","218026","35689","132196","121519","32.4","82204","55.8","141573","10.7","27148","1.2","3045","19.2","48713","73.8","187242","7.1","18014","76.3","193585","35.6","26","9.6","109","90043","75498","3.3","1590","1427","633","455","76.1","193077","21.9","55564","2","5074","124.5","124500","118.9","118900","5.6","5600","46.3","46300","72.9","4.5","15342","20521","9845","0.396","0","16","27","6","10","20","7","10","0","3","3","16","7","4","0","13","1","0","2","0","16","4","6","1","0","0","1","7","8","0","3","13","11"
"W.P. KualaLumpur","3.183","101.7462","Setiawangsa","16","147095","9193","140563","6532","76341","70754","69.7","102525","21.4","31478","8.5","12503","0.4","588","25.2","37068","69.9","102819","4.9","7208","70","102967","43","36","7","108","45093","46697","3.1","957","850","381","271","62.2","91493","24.9","36627","12.9","18975","74.5","74500","71.1","71100","3.4","3400","29","29000","72","4.6","9651","12281","6534","0.33","0.3","123","212","42","81","107","105","83","6","30","4","127","12","68","5","95","3","4","20","1","141","10","9","49","3","0","0","68","55","0","3","127","82"
"W.P. KualaLumpur","3.1774","101.7077","Titiwangsa","15","122096","8140","106806","15290","63360","58736","67.7","82659","23.3","28448","7.6","9279","1.4","1709","25","30524","69.6","84979","5.4","6593","70.7","86322","43.8","36","7.8","108","44206","36063","3.3","774","703","308","224","48.4","59094","40.6","49571","11","13431","56.8","56800","54.8","54800","2","2000","21","21000","73","3.6","9827","11921","6823","0.335","0.5","57","135","19","38","71","64","49","3","4","1","106","4","19","6","50","0","3","4","0","113","1","5","16","0","0","2","18","27","0","2","68","65"
